ID	Gene Name	Species	GOTERM_BP_DIRECT
KDR	kinase insert domain receptor(KDR)	Homo sapiens	GO:0001525~angiogenesis;GO:0001570~vasculogenesis;GO:0001934~positive regulation of protein phosphorylation;GO:0001938~positive regulation of endothelial cell proliferation;GO:0002042~cell migration involved in sprouting angiogenesis;GO:0003158~endothelium development;GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway;GO:0008284~positive regulation of cell proliferation;GO:0008360~regulation of cell shape;GO:0010595~positive regulation of endothelial cell migration;GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling;GO:0016032~viral process;GO:0016239~positive regulation of macroautophagy;GO:0018108~peptidyl-tyrosine phosphorylation;GO:0023014~signal transduction by protein phosphorylation;GO:0030198~extracellular matrix organization;GO:0030335~positive regulation of cell migration;GO:0035162~embryonic hemopoiesis;GO:0035584~calcium-mediated signaling using intracellular calcium source;GO:0035924~cellular response to vascular endothelial growth factor stimulus;GO:0038033~positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway;GO:0038083~peptidyl-tyrosine autophosphorylation;GO:0043066~negative regulation of apoptotic process;GO:0043410~positive regulation of MAPK cascade;GO:0045766~positive regulation of angiogenesis;GO:0046777~protein autophosphorylation;GO:0048010~vascular endothelial growth factor receptor signaling pathway;GO:0050927~positive regulation of positive chemotaxis;GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process;GO:0051894~positive regulation of focal adhesion assembly;GO:0051901~positive regulation of mitochondrial depolarization;GO:0070374~positive regulation of ERK1 and ERK2 cascade;GO:0090141~positive regulation of mitochondrial fission;GO:2000352~negative regulation of endothelial cell apoptotic process;GO:2001214~positive regulation of vasculogenesis,
KSR1	kinase suppressor of ras 1(KSR1)	Homo sapiens	GO:0000165~MAPK cascade;GO:0007265~Ras protein signal transduction;GO:0019933~cAMP-mediated signaling;GO:0035556~intracellular signal transduction;GO:0043410~positive regulation of MAPK cascade,
KIF22	kinesin family member 22(KIF22)	Homo sapiens	GO:0006281~DNA repair;GO:0006890~retrograde vesicle-mediated transport, Golgi to ER;GO:0007018~microtubule-based movement;GO:0007062~sister chromatid cohesion;GO:0007067~mitotic nuclear division;GO:0007080~mitotic metaphase plate congression;GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II;GO:0051310~metaphase plate congression,
KIF2A	kinesin family member 2A(KIF2A)	Homo sapiens	GO:0006890~retrograde vesicle-mediated transport, Golgi to ER;GO:0007018~microtubule-based movement;GO:0007052~mitotic spindle organization;GO:0007062~sister chromatid cohesion;GO:0007399~nervous system development;GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II;GO:0030154~cell differentiation;GO:0051301~cell division;GO:0090307~mitotic spindle assembly,
KIF5B	kinesin family member 5B(KIF5B)	Homo sapiens	GO:0007018~microtubule-based movement;GO:0007028~cytoplasm organization;GO:0007411~axon guidance;GO:0030705~cytoskeleton-dependent intracellular transport;GO:0031340~positive regulation of vesicle fusion;GO:0032230~positive regulation of synaptic transmission, GABAergic;GO:0035617~stress granule disassembly;GO:0035774~positive regulation of insulin secretion involved in cellular response to glucose stimulus;GO:0042391~regulation of membrane potential;GO:0043268~positive regulation of potassium ion transport;GO:0047496~vesicle transport along microtubule;GO:0051642~centrosome localization;GO:0072383~plus-end-directed vesicle transport along microtubule;GO:0090004~positive regulation of establishment of protein localization to plasma membrane;GO:0090316~positive regulation of intracellular protein transport;GO:0098609~cell-cell adhesion;GO:1905152~positive regulation of voltage-gated sodium channel activity,
LDHA	lactate dehydrogenase A(LDHA)	Homo sapiens	GO:0001666~response to hypoxia;GO:0005975~carbohydrate metabolic process;GO:0006089~lactate metabolic process;GO:0006090~pyruvate metabolic process;GO:0006096~glycolytic process;GO:0007584~response to nutrient;GO:0009749~response to glucose;GO:0019674~NAD metabolic process;GO:0019752~carboxylic acid metabolic process;GO:0021762~substantia nigra development;GO:0042493~response to drug;GO:0042542~response to hydrogen peroxide;GO:0043065~positive regulation of apoptotic process;GO:0043627~response to estrogen;GO:0048569~post-embryonic organ development;GO:0051591~response to cAMP;GO:0055114~oxidation-reduction process;GO:0098609~cell-cell adhesion,
LDHB	lactate dehydrogenase B(LDHB)	Homo sapiens	GO:0005975~carbohydrate metabolic process;GO:0006089~lactate metabolic process;GO:0006090~pyruvate metabolic process;GO:0019674~NAD metabolic process;GO:0019752~carboxylic acid metabolic process;GO:0055114~oxidation-reduction process,
LTF	lactotransferrin(LTF)	Homo sapiens	GO:0001503~ossification;GO:0001817~regulation of cytokine production;GO:0001895~retina homeostasis;GO:0002227~innate immune response in mucosa;GO:0006351~transcription, DNA-templated;GO:0006508~proteolysis;GO:0006811~ion transport;GO:0006959~humoral immune response;GO:0019731~antibacterial humoral response;GO:0019732~antifungal humoral response;GO:0031665~negative regulation of lipopolysaccharide-mediated signaling pathway;GO:0032680~regulation of tumor necrosis factor production;GO:0032780~negative regulation of ATPase activity;GO:0033214~iron assimilation by chelation and transport;GO:0033690~positive regulation of osteoblast proliferation;GO:0034145~positive regulation of toll-like receptor 4 signaling pathway;GO:0043066~negative regulation of apoptotic process;GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling;GO:0044267~cellular protein metabolic process;GO:0044793~negative regulation by host of viral process;GO:0045071~negative regulation of viral genome replication;GO:0045454~cell redox homeostasis;GO:0045669~positive regulation of osteoblast differentiation;GO:0048525~negative regulation of viral process;GO:0051092~positive regulation of NF-kappaB transcription factor activity;GO:0060349~bone morphogenesis;GO:0071902~positive regulation of protein serine/threonine kinase activity;GO:1900159~positive regulation of bone mineralization involved in bone maturation;GO:1900229~negative regulation of single-species biofilm formation in or on host organism;GO:1902732~positive regulation of chondrocyte proliferation;GO:2000308~negative regulation of tumor necrosis factor (ligand) superfamily member 11 production;GO:2001205~negative regulation of osteoclast development,
LAMB3	laminin subunit beta 3(LAMB3)	Homo sapiens	GO:0007155~cell adhesion;GO:0008544~epidermis development;GO:0022617~extracellular matrix disassembly;GO:0030198~extracellular matrix organization;GO:0031581~hemidesmosome assembly;GO:0035987~endodermal cell differentiation;GO:0050873~brown fat cell differentiation,
LAMC1	laminin subunit gamma 1(LAMC1)	Homo sapiens	GO:0006461~protein complex assembly;GO:0007155~cell adhesion;GO:0007492~endoderm development;GO:0016477~cell migration;GO:0022617~extracellular matrix disassembly;GO:0030198~extracellular matrix organization;GO:0031581~hemidesmosome assembly;GO:0034446~substrate adhesion-dependent cell spreading;GO:0050679~positive regulation of epithelial cell proliferation,
LAMC2	laminin subunit gamma 2(LAMC2)	Homo sapiens	GO:0007155~cell adhesion;GO:0008284~positive regulation of cell proliferation;GO:0008544~epidermis development;GO:0022617~extracellular matrix disassembly;GO:0030198~extracellular matrix organization;GO:0030335~positive regulation of cell migration;GO:0031581~hemidesmosome assembly,
LRRC4	leucine rich repeat containing 4(LRRC4)	Homo sapiens	GO:0006469~negative regulation of protein kinase activity;GO:0019221~cytokine-mediated signaling pathway;GO:0046426~negative regulation of JAK-STAT cascade;GO:0050807~regulation of synapse organization;GO:0097119~postsynaptic density protein 95 clustering,
LRRC8A	leucine rich repeat containing 8 family member A(LRRC8A)	Homo sapiens	GO:0002329~pre-B cell differentiation;GO:0006820~anion transport;GO:0006884~cell volume homeostasis;GO:0006970~response to osmotic stress;GO:0044070~regulation of anion transport;GO:0098656~anion transmembrane transport,
LRRK2	leucine rich repeat kinase 2(LRRK2)	Homo sapiens	GO:0000165~MAPK cascade;GO:0000186~activation of MAPKK activity;GO:0000187~activation of MAPK activity;GO:0001933~negative regulation of protein phosphorylation;GO:0001934~positive regulation of protein phosphorylation;GO:0006468~protein phosphorylation;GO:0006897~endocytosis;GO:0006914~autophagy;GO:0006979~response to oxidative stress;GO:0007005~mitochondrion organization;GO:0007030~Golgi organization;GO:0007040~lysosome organization;GO:0007264~small GTPase mediated signal transduction;GO:0007528~neuromuscular junction development;GO:0008340~determination of adult lifespan;GO:0009267~cellular response to starvation;GO:0010506~regulation of autophagy;GO:0010508~positive regulation of autophagy;GO:0010738~regulation of protein kinase A signaling;GO:0010955~negative regulation of protein processing;GO:0014041~regulation of neuron maturation;GO:0016242~negative regulation of macroautophagy;GO:0016310~phosphorylation;GO:0018105~peptidyl-serine phosphorylation;GO:0018107~peptidyl-threonine phosphorylation;GO:0019722~calcium-mediated signaling;GO:0021772~olfactory bulb development;GO:0022028~tangential migration from the subventricular zone to the olfactory bulb;GO:0031398~positive regulation of protein ubiquitination;GO:0032091~negative regulation of protein binding;GO:0032092~positive regulation of protein binding;GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process;GO:0034260~negative regulation of GTPase activity;GO:0034599~cellular response to oxidative stress;GO:0034613~cellular protein localization;GO:0035556~intracellular signal transduction;GO:0035564~regulation of kidney size;GO:0035640~exploration behavior;GO:0035641~locomotory exploration behavior;GO:0035751~regulation of lysosomal lumen pH;GO:0040012~regulation of locomotion;GO:0042391~regulation of membrane potential;GO:0043068~positive regulation of programmed cell death;GO:0043406~positive regulation of MAP kinase activity;GO:0043547~positive regulation of GTPase activity;GO:0046039~GTP metabolic process;GO:0046777~protein autophosphorylation;GO:0048312~intracellular distribution of mitochondria;GO:0048812~neuron projection morphogenesis;GO:0051646~mitochondrion localization;GO:0051900~regulation of mitochondrial depolarization;GO:0051966~regulation of synaptic transmission, glutamatergic;GO:0060070~canonical Wnt signaling pathway;GO:0060079~excitatory postsynaptic potential;GO:0060159~regulation of dopamine receptor signaling pathway;GO:0060161~positive regulation of dopamine receptor signaling pathway;GO:0060828~regulation of canonical Wnt signaling pathway;GO:0061001~regulation of dendritic spine morphogenesis;GO:0070585~protein localization to mitochondrion;GO:0070997~neuron death;GO:0071287~cellular response to manganese ion;GO:0072593~reactive oxygen species metabolic process;GO:0090140~regulation of mitochondrial fission;GO:0090263~positive regulation of canonical Wnt signaling pathway;GO:0090394~negative regulation of excitatory postsynaptic potential;GO:1901214~regulation of neuron death;GO:1901215~negative regulation of neuron death;GO:1902236~negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway;GO:1902499~positive regulation of protein autoubiquitination;GO:1902692~regulation of neuroblast proliferation;GO:1902803~regulation of synaptic vesicle transport;GO:1902823~negative regulation of late endosome to lysosome transport;GO:1902902~negative regulation of autophagosome assembly;GO:1903125~negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation;GO:1903206~negative regulation of hydrogen peroxide-induced cell death;GO:1903215~negative regulation of protein targeting to mitochondrion;GO:1903217~negative regulation of protein processing involved in protein targeting to mitochondrion;GO:1903351~cellular response to dopamine;GO:1904887~Wnt signalosome assembly;GO:1905279~regulation of retrograde transport, endosome to Golgi;GO:1905289~regulation of CAMKK-AMPK signaling cascade;GO:2000172~regulation of branching morphogenesis of a nerve;GO:2000300~regulation of synaptic vesicle exocytosis,
LZTS1	leucine zipper tumor suppressor 1(LZTS1)	Homo sapiens	GO:0006351~transcription, DNA-templated;GO:0006355~regulation of transcription, DNA-templated;GO:0016242~negative regulation of macroautophagy;GO:0044772~mitotic cell cycle phase transition;GO:0048167~regulation of synaptic plasticity;GO:0048814~regulation of dendrite morphogenesis,
